instrument_id,isin,cusip,sedol,bloomberg_ticker,reuters_ric,asset_class,instrument_type,sector,industry,name,description,issuer,issue_date,exchange,currency,trading_currency,settlement_currency,tick_size,lot_size,min_trade_size,last_price,bid_price,ask_price,volume,market_cap,maturity_date,coupon_rate,coupon_frequency,yield_to_maturity,duration,credit_rating,underlying,strike_price,expiry_date,contract_size,var_95,var_99,beta,sharpe_ratio,status,is_tradeable,last_updated
INST000001,GB8389827448,,4931111,SHEL US FX,JPM,FX,Spot,Financials,Retail,German Bund Option,Option issued by Apple Inc,JP Morgan Chase,2016-11-22,ICE,CAD,GBP,CAD,0.01,1,100,543.09,17.13,642.25,8439064,,,,,,,,,194.3,,,81923.32,65217.9,,,Active,True,2025-08-12T14:37:36.256176
INST000002,GB6795086650,703735092,8913324,DBK GY EQU,DBK.L,Equity,Preferred Stock,Consumer,Software,Toyota Motor ADR,Preferred Stock issued by Goldman Sachs,Goldman Sachs,2015-11-06,NASDAQ,USD,EUR,EUR,1e-05,10,1,632.21,466.3,651.74,9577070,233883378044,,,,,,,,,,,55988.77,133351.83,1.053,0.326,Active,True,2025-08-12T14:37:36.256201
INST000003,GB2703697042,104130382,,SHEL FP EQU,JPM.DE,Equity,Preferred Stock,Technology,Aerospace,Apple Inc ETF,Common Stock issued by Microsoft Corp,Apple Inc,2019-01-16,NASDAQ,CHF,GBP,CHF,1e-05,10,10,429.93,679.37,643.85,9933980,647373398238,,,,,,,,,,,80953.66,112386.44,1.885,0.285,Delisted,True,2025-08-12T14:37:36.256219
INST000004,JP1741615420,529047909,,DBK GY EQU,DBK,Equity,ADR,Energy,Oil & Gas,Goldman Sachs ADR,Common Stock issued by JP Morgan Chase,BNP Paribas,2022-05-08,XETRA,USD,GBP,USD,0.001,100,10,374.96,614.79,141.79,5880314,238835381187,,,,,,,,,,,20164.98,66801.2,1.993,1.943,Active,True,2025-08-12T14:37:36.256232
INST000005,JP9958146611,,,SHEL US COM,AAPL.PA,Commodity,Agriculture,Healthcare,Retail,BNP Paribas Energy,Metal issued by Deutsche Bank,BNP Paribas,2024-03-02,ICE,EUR,USD,EUR,0.01,100,10,546.83,829.59,321.36,8302863,,,,,,,,,,,,80983.95,55827.14,,,Delisted,True,2025-08-12T14:37:36.256253
INST000006,JP6260343526,868677091,7780839,NESN FP EQU,GS,Equity,Preferred Stock,Financials,Software,German Bund Common Stock,Common Stock issued by Deutsche Bank,HSBC Holdings,2019-11-29,LSE,EUR,GBP,USD,0.001,10,10,815.07,738.19,625.56,2841268,256821838057,,,,,,,,,,,34837.19,30181.19,1.682,2.819,Active,True,2025-08-12T14:37:36.256268
INST000007,US3497768598,,6555371,SHEL US COM,GS.PA,Commodity,Metal,Technology,Oil & Gas,Royal Dutch Shell Energy,Metal issued by Nestle SA,Royal Dutch Shell,2024-02-03,CME,USD,USD,EUR,0.0001,10,1000,590.41,981.75,271.19,8435970,,,,,,,,,,,,50483.35,152105.62,,,Suspended,True,2025-08-12T14:37:36.256282
INST000008,DE1588480494,,,NESN GY DER,DBK.N,Derivative,Swap,Consumer,Aerospace,Nestle SA Forward,Swap issued by Nestle SA,Nestle SA,2023-02-05,OTC,GBP,JPY,JPY,0.0001,100,1000,782.6,24.05,102.59,3999397,,,,,,,,INST000033,94.28,2026-08-08,1000,24861.31,198617.08,,,Suspended,True,2025-08-12T14:37:36.256300
INST000009,US6834996376,453378791,,NESN FP EQU,AAPL,Equity,ADR,Technology,Retail,UK Gilt Preferred Stock,ETF issued by Apple Inc,Apple Inc,2021-09-28,LSE,USD,JPY,USD,0.001,10,10,104.27,926.96,631.77,3192888,642386649196,,,,,,,,,,,92806.02,159507.86,1.047,2.164,Delisted,True,2025-08-12T14:37:36.256313
INST000010,JP3491789011,,,SHEL US FX,GS,FX,Spot,Healthcare,Aerospace,Toyota Motor Spot,NDF issued by Toyota Motor,Goldman Sachs,2024-09-08,ICE,CAD,CHF,CAD,0.001,1000,100,584.3,597.86,757.27,8608886,,,,,,,,,72.4,,,2384.68,133178.39,,,Suspended,True,2025-08-12T14:37:36.256325
INST000011,DE1953270151,889005699,,MSFT LN FIX,GS.N,Fixed Income,MBS,Financials,Banking,BNP Paribas Municipal Bond,Municipal Bond issued by US Treasury,US Treasury,2019-09-07,LSE,USD,GBP,USD,0.01,100,10,963.53,313.93,497.41,1917851,,2039-12-14,7.258,Semi-Annual,2.097,4.32,BBB+,,,,,60370.52,24882.31,,,Delisted,True,2025-08-12T14:37:36.256342
INST000012,GB9285220254,,,AAPL GY COM,AAPL,Commodity,Energy,Financials,Aerospace,UK Gilt Metal,Agriculture issued by UK Gilt,Microsoft Corp,2020-10-10,LME,EUR,USD,USD,1e-05,100,10,832.93,349.43,840.38,9492699,,,,,,,,,,,,77225.29,124355.28,,,Suspended,True,2025-08-12T14:37:36.256353
INST000013,FR1130316040,814685049,,DBK US EQU,AAPL,Equity,ETF,Energy,Pharma,Nestle SA Preferred Stock,ADR issued by Goldman Sachs,US Treasury,2025-04-09,XETRA,JPY,EUR,JPY,0.0001,1000,100,510.99,586.47,439.78,8732502,814176737747,,,,,,,,,,,78097.39,111130.04,0.542,2.693,Active,True,2025-08-12T14:37:36.256365
INST000014,DE9796233088,,,GS GY FX,DBK.N,FX,Forward,Energy,Retail,Apple Inc NDF,NDF issued by Nestle SA,HSBC Holdings,2021-09-21,CME,USD,USD,JPY,1e-05,10,1,67.86,319.58,221.9,3808408,,,,,,,,,68.55,,,60098.06,178782.73,,,Delisted,True,2025-08-12T14:37:36.256378
INST000015,JP6802669515,613220772,8302817,MSFT GY EQU,GS.N,Equity,ADR,Consumer,Software,HSBC Holdings ADR,Common Stock issued by HSBC Holdings,German Bund,2025-02-26,LSE,GBP,JPY,USD,0.0001,10,10,758.26,892.14,874.2,9193642,411606904191,,,,,,,,,,,16970.58,91630.05,1.069,0.719,Active,True,2025-08-12T14:37:36.256390
INST000016,FR6007529333,,9129313,AAPL US FX,AAPL.DE,FX,NDF,Consumer,Retail,Microsoft Corp Spot,Spot issued by US Treasury,Toyota Motor,2021-08-17,OTC,USD,GBP,GBP,0.0001,100,1,51.16,413.12,329.27,8217051,,,,,,,,,99.96,,,95365.76,179988.54,,,Active,True,2025-08-12T14:37:36.256402
INST000017,JP3927311718,147078268,,GS FP FIX,GS.DE,Fixed Income,ABS,Industrials,Pharma,BNP Paribas MBS,Municipal Bond issued by German Bund,Nestle SA,2023-07-14,NYSE Bonds,GBP,USD,EUR,0.001,1000,10,964.32,154.19,96.83,8067577,,2028-11-25,3.416,Annual,4.048,16.86,A+,,,,,75727.43,116780.43,,,Suspended,True,2025-08-12T14:37:36.256430
INST000018,DE2442765991,,,SHEL LN FX,JPM.N,FX,Option,Technology,Retail,HSBC Holdings Forward,Spot issued by German Bund,Goldman Sachs,2017-01-31,OTC,USD,AUD,EUR,0.001,1,1,221.91,338.95,401.39,8641700,,,,,,,,,158.95,,,18056.77,113651.03,,,Active,True,2025-08-12T14:37:36.256452
INST000019,GB2119891893,,,AAPL GY COM,DBK,Commodity,Agriculture,Healthcare,Oil & Gas,Microsoft Corp Energy,Energy issued by HSBC Holdings,Nestle SA,2021-06-17,SHFE,EUR,EUR,USD,0.01,1000,100,961.35,987.59,528.78,3618268,,,,,,,,,,,,34041.33,31522.75,,,Active,True,2025-08-12T14:37:36.256471
INST000020,US5830230545,548676461,5139653,GS GY FIX,GS.PA,Fixed Income,Government Bond,Healthcare,Oil & Gas,Goldman Sachs Government Bond,Government Bond issued by Royal Dutch Shell,Toyota Motor,2024-10-08,EuroTLX,USD,EUR,EUR,1e-05,10,100,469.27,178.23,851.02,8698889,,2054-11-29,8.814,Quarterly,2.417,27.98,AAA,,,,,66404.92,26745.63,,,Suspended,True,2025-08-12T14:37:36.256495
INST000021,FR2599797320,,,NESN LN DER,GS,Derivative,Option,Healthcare,Pharma,Royal Dutch Shell Swap,Forward issued by Royal Dutch Shell,Nestle SA,2020-12-07,CME,JPY,GBP,USD,0.0001,1,100,486.41,711.23,517.3,4566214,,,,,,,,INST000006,51.8,2026-07-09,1000,24555.01,26923.87,,,Active,True,2025-08-12T14:37:36.256525
INST000022,JP1177830146,,,AAPL GY FX,GS.PA,FX,Spot,Consumer,Aerospace,German Bund Spot,NDF issued by Royal Dutch Shell,JP Morgan Chase,2024-07-08,CME,GBP,CHF,USD,0.001,10,1000,775.91,451.24,898.27,937199,,,,,,,,,197.47,,,73671.83,193659.29,,,Delisted,False,2025-08-12T14:37:36.256541
INST000023,FR6865144647,,,JPM FP DER,MSFT.N,Derivative,Swap,Technology,Aerospace,Microsoft Corp Forward,Forward issued by Toyota Motor,Toyota Motor,2023-01-14,OTC,GBP,USD,GBP,1e-05,1000,1000,845.09,973.64,911.17,4807349,,,,,,,,INST000021,160.24,2026-01-05,1000,5569.26,164106.38,,,Suspended,True,2025-08-12T14:37:36.256561
INST000024,DE3628965699,,,NESN FP FX,MSFT,FX,NDF,Technology,Aerospace,Microsoft Corp Forward,Option issued by Nestle SA,German Bund,2016-12-27,CME,CHF,USD,EUR,1e-05,1000,1000,119.75,530.83,154.37,3107545,,,,,,,,,86.78,,,30867.7,164330.25,,,Suspended,True,2025-08-12T14:37:36.256573
INST000025,DE8699335005,,9436326,NESN GY DER,AAPL,Derivative,Future,Technology,Pharma,HSBC Holdings Swap,Forward issued by Microsoft Corp,Nestle SA,2017-03-08,LME,GBP,JPY,USD,1e-05,100,1,220.95,374.98,101.13,3186309,,,,,,,,INST000045,158.32,2026-05-18,1000,17994.86,167149.23,,,Active,True,2025-08-12T14:37:36.256588
INST000026,JP7801831494,203942927,6741563,SHEL GY FIX,JPM,Fixed Income,ABS,Financials,Oil & Gas,German Bund ABS,Corporate Bond issued by Toyota Motor,Apple Inc,2022-01-03,LSE,EUR,GBP,GBP,0.0001,10,1000,514.58,967.93,54.13,8655121,,2038-10-02,1.23,Quarterly,1.697,21.71,AAA,,,,,71339.81,190095.92,,,Delisted,True,2025-08-12T14:37:36.256609
INST000027,DE6353146451,317456644,,JPM US FIX,GS,Fixed Income,Corporate Bond,Healthcare,Oil & Gas,Royal Dutch Shell Municipal Bond,MBS issued by Royal Dutch Shell,Goldman Sachs,2022-01-20,EuroTLX,EUR,GBP,USD,1e-05,1,10,861.58,285.95,818.58,8584253,,2045-05-15,6.787,Annual,7.354,12.55,AAA,,,,,41545.06,118699.08,,,Suspended,True,2025-08-12T14:37:36.256627
INST000028,DE8537955624,,,NESN FP COM,AAPL.DE,Commodity,Energy,Technology,Aerospace,HSBC Holdings Energy,Energy issued by US Treasury,German Bund,2021-06-04,ICE,EUR,EUR,EUR,0.01,10,10,699.87,175.83,893.7,5128976,,,,,,,,,,,,90258.27,161386.24,,,Suspended,True,2025-08-12T14:37:36.256637
INST000029,JP6452912703,,6586394,MSFT FP DER,MSFT.N,Derivative,Forward,Energy,Software,Microsoft Corp Forward,Swap issued by Microsoft Corp,Nestle SA,2018-08-06,EUREX,JPY,GBP,EUR,0.001,10,100,714.51,406.83,744.08,5891064,,,,,,,,INST000024,87.49,2026-07-02,100,63123.0,151641.7,,,Active,True,2025-08-12T14:37:36.256653
INST000030,DE1814192358,,,SHEL LN COM,MSFT.PA,Commodity,Agriculture,Technology,Software,Royal Dutch Shell Agriculture,Agriculture issued by Royal Dutch Shell,UK Gilt,2024-01-26,LME,EUR,EUR,EUR,0.001,100,10,899.08,161.04,24.55,6533767,,,,,,,,,,,,92106.27,75297.53,,,Active,True,2025-08-12T14:37:36.256664
INST000031,GB5014118926,,5409579,GS LN FX,MSFT.N,FX,NDF,Industrials,Aerospace,Goldman Sachs Forward,Spot issued by US Treasury,Apple Inc,2015-10-21,CME,GBP,CAD,USD,0.0001,1000,1,482.24,459.47,61.93,7971823,,,,,,,,,164.47,,,57741.85,143162.06,,,Suspended,False,2025-08-12T14:37:36.256677
INST000032,DE9639646850,,9606627,MSFT GY COM,GS.L,Commodity,Metal,Healthcare,Pharma,Royal Dutch Shell Energy,Energy issued by US Treasury,Microsoft Corp,2021-08-17,LME,USD,EUR,USD,0.001,100,1000,319.93,117.52,253.5,1798428,,,,,,,,,,,,88349.31,52713.5,,,Active,True,2025-08-12T14:37:36.256688
INST000033,DE7348901138,,7235254,JPM FP COM,JPM.DE,Commodity,Energy,Healthcare,Software,Royal Dutch Shell Energy,Energy issued by HSBC Holdings,HSBC Holdings,2016-01-10,SHFE,EUR,EUR,USD,0.001,1,100,376.18,378.93,784.81,8758747,,,,,,,,,,,,72749.09,9968.65,,,Active,True,2025-08-12T14:37:36.256698
INST000034,US4540860566,,,SHEL GY COM,MSFT,Commodity,Agriculture,Industrials,Oil & Gas,HSBC Holdings Metal,Energy issued by Royal Dutch Shell,UK Gilt,2024-05-02,LME,EUR,EUR,EUR,0.001,1000,1,748.74,508.99,156.35,2887860,,,,,,,,,,,,57985.25,169214.07,,,Active,True,2025-08-12T14:37:36.256715
INST000035,JP1978022483,,,JPM US COM,DBK,Commodity,Metal,Industrials,Banking,Royal Dutch Shell Energy,Energy issued by Royal Dutch Shell,Goldman Sachs,2021-12-15,ICE,USD,USD,USD,1e-05,1000,100,321.03,866.14,8.29,1483197,,,,,,,,,,,,81490.93,72788.31,,,Suspended,True,2025-08-12T14:37:36.256725
INST000036,FR3860900924,830524429,,NESN US EQU,GS.DE,Equity,ADR,Healthcare,Retail,HSBC Holdings Preferred Stock,Preferred Stock issued by Toyota Motor,Royal Dutch Shell,2017-06-30,LSE,USD,USD,CHF,0.01,100,100,130.96,312.97,490.39,2121758,380692381585,,,,,,,,,,,70261.64,149642.44,1.414,-0.519,Suspended,True,2025-08-12T14:37:36.256737
INST000037,US4407549026,,,NESN FP DER,AAPL.N,Derivative,Swap,Technology,Oil & Gas,Microsoft Corp Swap,Swaption issued by JP Morgan Chase,Apple Inc,2016-01-28,LME,USD,EUR,GBP,0.001,10,1000,362.28,6.29,508.43,630023,,,,,,,,INST000043,179.05,2026-03-12,1000,57064.55,7093.35,,,Suspended,True,2025-08-12T14:37:36.256755
INST000038,JP3066280081,,6715507,GS LN FX,JPM,FX,Spot,Healthcare,Oil & Gas,German Bund Spot,Option issued by Royal Dutch Shell,HSBC Holdings,2019-01-26,OTC,JPY,USD,USD,1e-05,10,100,2.02,414.13,823.77,7078356,,,,,,,,,186.4,,,53451.1,189344.75,,,Active,True,2025-08-12T14:37:36.256766
INST000039,FR1415571592,,,NESN FP COM,GS.PA,Commodity,Energy,Energy,Pharma,German Bund Energy,Metal issued by Apple Inc,UK Gilt,2023-09-13,LME,USD,EUR,EUR,0.001,1000,100,80.97,662.71,991.47,6451217,,,,,,,,,,,,44132.66,67334.12,,,Delisted,True,2025-08-12T14:37:36.256778
INST000040,US4672630281,651206937,6743201,GS US FIX,DBK.N,Fixed Income,Government Bond,Consumer,Pharma,Microsoft Corp ABS,Corporate Bond issued by Microsoft Corp,German Bund,2017-05-10,NYSE Bonds,USD,GBP,GBP,0.01,10,1000,469.75,29.01,356.79,7456807,,2032-08-28,1.302,Annual,0.018,12.75,AAA,,,,,23906.67,198463.6,,,Suspended,True,2025-08-12T14:37:36.256797
INST000041,DE1709083185,562039732,,MSFT LN FIX,JPM,Fixed Income,MBS,Energy,Software,Royal Dutch Shell Municipal Bond,Municipal Bond issued by German Bund,US Treasury,2024-08-15,LSE,EUR,GBP,EUR,0.0001,1000,1000,29.37,311.24,219.26,3279907,,2054-03-29,5.609,Quarterly,0.277,14.8,BBB,,,,,96637.2,109593.37,,,Active,True,2025-08-12T14:37:36.256812
INST000042,GB3628572709,382799045,,SHEL LN EQU,DBK.N,Equity,Preferred Stock,Financials,Banking,German Bund Preferred Stock,ETF issued by Apple Inc,German Bund,2016-03-17,TSE,GBP,EUR,GBP,0.0001,1000,100,639.79,7.0,311.46,7877981,157475058796,,,,,,,,,,,99923.82,169041.69,1.492,1.46,Suspended,True,2025-08-12T14:37:36.256825
INST000043,JP8947883683,419030295,7019731,MSFT GY EQU,MSFT.PA,Equity,Common Stock,Technology,Banking,German Bund ADR,ETF issued by Microsoft Corp,JP Morgan Chase,2025-04-06,XETRA,GBP,EUR,EUR,0.001,100,10,965.3,618.49,565.29,8998983,660662594328,,,,,,,,,,,80661.34,150459.77,1.952,1.159,Active,True,2025-08-12T14:37:36.256837
INST000044,JP9784653783,,4900946,JPM LN COM,AAPL,Commodity,Metal,Technology,Oil & Gas,Microsoft Corp Energy,Energy issued by Microsoft Corp,BNP Paribas,2019-08-10,ICE,USD,USD,EUR,1e-05,1000,1,771.4,90.25,450.73,5762123,,,,,,,,,,,,51078.3,163369.63,,,Active,True,2025-08-12T14:37:36.256849
INST000045,DE1963038138,991886369,,AAPL US FIX,AAPL,Fixed Income,Municipal Bond,Technology,Aerospace,German Bund ABS,MBS issued by Goldman Sachs,JP Morgan Chase,2017-04-22,EuroTLX,GBP,EUR,EUR,0.0001,10,10,352.21,127.23,171.24,465754,,2032-01-22,1.216,Quarterly,1.706,19.17,A,,,,,81465.02,40989.74,,,Active,True,2025-08-12T14:37:36.256865
INST000046,JP3001533404,860968563,6096669,DBK FP FIX,AAPL,Fixed Income,Municipal Bond,Healthcare,Oil & Gas,Deutsche Bank Municipal Bond,ABS issued by Microsoft Corp,Microsoft Corp,2021-05-22,OTC,USD,EUR,GBP,1e-05,1000,10,769.52,494.65,873.0,2752277,,2048-01-16,3.385,Quarterly,6.652,24.87,AA-,,,,,92894.84,134255.84,,,Active,True,2025-08-12T14:37:36.256878
INST000047,GB1181286197,,4865719,SHEL LN COM,MSFT.N,Commodity,Energy,Energy,Pharma,Nestle SA Agriculture,Agriculture issued by German Bund,Nestle SA,2021-09-29,LME,USD,USD,USD,1e-05,1,100,970.4,512.25,94.04,5836214,,,,,,,,,,,,95537.75,129031.16,,,Delisted,True,2025-08-12T14:37:36.256892
INST000048,FR7965086950,,,AAPL FP COM,AAPL.L,Commodity,Energy,Technology,Aerospace,UK Gilt Energy,Agriculture issued by Deutsche Bank,US Treasury,2023-08-06,ICE,USD,USD,EUR,0.0001,100,1000,735.07,354.17,528.09,1026715,,,,,,,,,,,,38809.87,37501.02,,,Active,True,2025-08-12T14:37:36.256902
INST000049,FR3895103488,,8239515,MSFT LN COM,DBK.PA,Commodity,Metal,Consumer,Software,Goldman Sachs Agriculture,Metal issued by Deutsche Bank,Apple Inc,2016-01-07,SHFE,USD,USD,USD,0.01,1,1,337.29,325.95,409.13,3020717,,,,,,,,,,,,15405.58,104537.91,,,Active,True,2025-08-12T14:37:36.256913
INST000050,FR3396847438,106070162,,AAPL GY FIX,DBK.PA,Fixed Income,ABS,Energy,Retail,Microsoft Corp Government Bond,Municipal Bond issued by Royal Dutch Shell,UK Gilt,2022-12-06,EuroTLX,EUR,USD,USD,0.0001,1,1,869.01,540.4,372.03,3074870,,2027-12-02,2.117,Semi-Annual,0.503,8.39,BBB,,,,,25143.98,97493.7,,,Active,True,2025-08-12T14:37:36.256928
